Person,Nationality,SCORE
Capital J,Canada,1
Howdy Holmes,United States of America,1
André Berthomieu,France,1
He Zhi Wen,Spain,1
Klaus Töpfer,Germany,1
Delarivier Manley,England,1
Ai Shimizu,Japan,1
Ilya Kabakov,United States of America,1
Kazimierz Plocke,Poland,1
Pedro Ramos,United States of America,1
Stretch (rapper),United States of America,1
Deni Fiorentini,Italy,1
Marie Myriam,France,1
Günther Maas,Germany,1
Antoine Tempé,United States of America,0
Robin Aitken,United Kingdom,1
Val Young,United States of America,1
Angelique Kerber,Germany,1
Dilan Fernando,Italy,1
Mindy Grossman,United States of America,1
Tom Johnston (Scottish politician),United Kingdom,1
Nathaniel Bowditch,United States of America,1
Lee Shih Shiong,Singapore,1
Tony Eason,United States of America,1
Esther Ofarim,Israel,1
Pearce Hanley,Republic of Ireland,0
Cedric Price,England,1
Frank Beal,United States of America,1
David Eger,United States of America,1
Alecia Nugent,United States of America,1
Luan de Burgh,England,1
Robert E. Sweeney,United States of America,1
Joseph Jarman,United States of America,1
Lizhen Ji,United States of America,1
Alexis Petridis,United Kingdom,1
Margaret Brouwer,United States of America,1
Liew Seng Tat,Malaysia,1
Greg Eastwood,New Zealand,1
Kara Brock,United States of America,1
James Rachels,United States of America,1
Keith Ballard,United States of America,1
Cornelia Funke,Germany,1
Blake Jenner,United States of America,1
James Cannon (mathematician),United States of America,1
Yves-Marie Adeline,France,1
John Amaechi,United States of America,0
Dale Raoul,United States of America,1
Karen Finerman,United States of America,1
Sergei Shchukin,Soviet Union,1
Michael Cooper,United States of America,1
Sandro Zakany,Austria,1
Jean Grae,South Africa,1
Michel Pêcheux,France,1
Konstantin Novoselov,United Kingdom,1
Justin Lester,United States of America,1
Juan José Carrillo,United States of America,1
Felix Pappalardi,United States of America,1
Y? Sugimoto,Japan,1
Gerald Perry,United States of America,1
Françoise Vatel,France,1
Eugène Cremmer,France,1
Vladimir Solovyov (journalist),Russia,1
Alexander Knyazhinsky,Russia,1
Justin Kripps,Canada,1
Des Lynam,United Kingdom,1
Norah O'Donnell,United States of America,1
Herman Talmadge,United States of America,1
Kyoshi Takahama,Japan,1
Abulfaz Elchibey,Azerbaijan,1
Shelley Breen,United States of America,1
Chance Browne,United States of America,1
Machiko Ono,Japan,1
Albert Stanley (Liberal politician),United Kingdom,1
Taku Yamasaki,Japan,1
John Capel,United States of America,1
Veronica Pivetti,Italy,1
Edo Pero?evi?,Yugoslavia,1
Kristin Adams,United States of America,1
Patrycja Soliman,Poland,1
Olivia Shakespear,England,1
Tam Scobbie,Scotland,1
Heinz Hopf,Switzerland,1
Sugar Ray Norcia,United States of America,1
Veronique Renard,Netherlands,1
William St Julien Arabin,United Kingdom,1
Yasushi Akimoto,Japan,1
Ambalavaner Sivanandan,Sri Lanka,1
Mayu Tsuruta,Japan,1
Willie Pastrano,United States of America,1
Pam Bileck,United States of America,1
Henryk Rossman,Poland,1
Dana Snyman,South Africa,1
Victoria Vox,United States of America,1
Carmen Serano,United States of America,1
Jens Christian Grøndahl,Denmark,1
Jim Vance,United States of America,1
Grahame Clifford,England,0
Michael Jones (soldier),United States of America,1
Mate Buli?,Bosnia and Herzegovina,1
Janet Julian,United States of America,1
